ori,agency,period,offense,count
MDBPD0000,Baltimore PD,2010-01,aggravated-assault,346
MDBPD0000,Baltimore PD,2011-01,aggravated-assault,377
MDBPD0000,Baltimore PD,2012-01,aggravated-assault,366
MDBPD0000,Baltimore PD,2013-01,aggravated-assault,353
MDBPD0000,Baltimore PD,2014-01,aggravated-assault,315
MDBPD0000,Baltimore PD,2015-01,aggravated-assault,294
MDBPD0000,Baltimore PD,2016-01,aggravated-assault,346
MDBPD0000,Baltimore PD,2017-01,aggravated-assault,555
MDBPD0000,Baltimore PD,2018-01,aggravated-assault,272
MDBPD0000,Baltimore PD,2019-01,aggravated-assault,419
MDBPD0000,Baltimore PD,2020-01,aggravated-assault,359
MDBPD0000,Baltimore PD,2021-01,aggravated-assault,
MDBPD0000,Baltimore PD,2022-01,aggravated-assault,412
MDBPD0000,Baltimore PD,2023-01,aggravated-assault,404
MDBPD0000,Baltimore PD,2024-01,aggravated-assault,335
MDBPD0000,Baltimore PD,2010-02,aggravated-assault,308
MDBPD0000,Baltimore PD,2011-02,aggravated-assault,338
MDBPD0000,Baltimore PD,2012-02,aggravated-assault,315
MDBPD0000,Baltimore PD,2013-02,aggravated-assault,322
MDBPD0000,Baltimore PD,2014-02,aggravated-assault,287
MDBPD0000,Baltimore PD,2015-02,aggravated-assault,266
MDBPD0000,Baltimore PD,2016-02,aggravated-assault,293
MDBPD0000,Baltimore PD,2017-02,aggravated-assault,431
MDBPD0000,Baltimore PD,2018-02,aggravated-assault,308
MDBPD0000,Baltimore PD,2019-02,aggravated-assault,356
MDBPD0000,Baltimore PD,2020-02,aggravated-assault,359
MDBPD0000,Baltimore PD,2021-02,aggravated-assault,
MDBPD0000,Baltimore PD,2022-02,aggravated-assault,407
MDBPD0000,Baltimore PD,2023-02,aggravated-assault,371
MDBPD0000,Baltimore PD,2024-02,aggravated-assault,433
MDBPD0000,Baltimore PD,2010-03,aggravated-assault,476
MDBPD0000,Baltimore PD,2011-03,aggravated-assault,450
MDBPD0000,Baltimore PD,2012-03,aggravated-assault,469
MDBPD0000,Baltimore PD,2013-03,aggravated-assault,389
MDBPD0000,Baltimore PD,2014-03,aggravated-assault,357
MDBPD0000,Baltimore PD,2015-03,aggravated-assault,319
MDBPD0000,Baltimore PD,2016-03,aggravated-assault,439
MDBPD0000,Baltimore PD,2017-03,aggravated-assault,404
MDBPD0000,Baltimore PD,2018-03,aggravated-assault,399
MDBPD0000,Baltimore PD,2019-03,aggravated-assault,402
MDBPD0000,Baltimore PD,2020-03,aggravated-assault,433
MDBPD0000,Baltimore PD,2021-03,aggravated-assault,
MDBPD0000,Baltimore PD,2022-03,aggravated-assault,487
MDBPD0000,Baltimore PD,2023-03,aggravated-assault,484
MDBPD0000,Baltimore PD,2024-03,aggravated-assault,431
MDBPD0000,Baltimore PD,2010-04,aggravated-assault,505
